Location ID,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description
1502,1502,LAKEVIEW AVENUE PARKETTE,park,,Lakeview Ave & Dundas St W,,Toronto East York,2,,LAKEVIEW,AVE,,,
1503,1503,JOHN CHANG NEIGHBOURHOOD PARK,park,,Colgate Ave & Natalie Pl,,Toronto East York,50,,COLGATE,AVE,,,
1504,1504,ISLINGTON PARK,park,,Franel Cres & Aviemore Dr,,Etobicoke York,19,,FRANEL,CRES,,,"A one hectare park on Islington Avenue north of Finch Avenue West that features four lit outdoor bocce courts, a children's playground and an open green space."
1508,1508,HUMBERLINE PARK,park,,Humberline Dr & Woodlot Cres,,Etobicoke York,32,,HUMBERLINE,DR,,,A 3.1 hectare park near Finch Avenue West and Highway 427 that features a children's playground and a basketball court. There is also a path that leads down into the Humber Arboretum.
1509,1509,FINCH - HUMBERLINE SPORTSFIELDS,park,,Finch Ave W & Humberline Dr,,Etobicoke York,95,,Humberline,Dr,,,
1510,1510,HARRISON PROPERTIES,park,,Kingston Rd & Lakehurst Dr,,Scarborough,1845,,KINGSTON,RD,,,A 2.9 hectare forested park on top of the Bluffs overlooking Lake Ontario near Kingston Road and close to Birchmount Road.
1511,1511,LOWER DON PARKLANDS,park,,,,Waterfront,44,,BEECHWOOD,DR,,,"The Lower Don Valley is home to a wide array of plant and animal species, some part of sensitive ongoing natural habitat restoration, and a number of naturalized areas and trails. The <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=f54bbe65c6595410VgnVCM10000071d60f89RCRD&appInstanceName=default"">Lower Don Trail</a> stretches from Taylor Creek to Lakeshore Boulevard, following the Don River.<br><br>
<a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6ebfdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=4afd1d90f2fac410VgnVCM10000071d60f89RCRD"">Crother's Woods</a> offers 10km of natural surface trails through mature maple-beech-oak woodland on the west-side of the Don River.<br><br>
<a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=3cbfdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=4afd1d90f2fac410VgnVCM10000071d60f89RCRD"">Cottonwood Flats</a> is located at the base of Beechwood Drive"
1529,1529,BISHOP ALLOTMENTS,,,Bishop Ave & Maxome Ave,,North York,190,,BISHOP,AVE,,,
1558,1558,CEDARBROOK JUNIOR PUBLIC SCHOOL,,,Nelson St & Farmbrook Rd,,Scarborough,56,,NELSON,ST,,,
1569,1569,CLAIREVILLE DAY CAMP,camp,,Indian Line & Albion Rd,,Etobicoke York,8180,,Highway 50,,,L6T 0A6,
1583,1583,DAVENTRY ALLOTMENTS,,,Brimorton Dr & Bellamy Rd,,Scarborough,19,,DAVENTRY,RD,,,
1631,1631,FOUR WINDS ALLOTMENTS,,,Four Winds Dr & Sentinel Rd,,North York,20,,FOUR WINDS,DR,,,
1642,1642,GIVENDALE ALLOTMENTS,,,Kennedy Rd & Ranstone Gdns,,Scarborough,950,,KENNEDY,RD,,,
1656,1656,HIGHLAND CREEK PUBLIC SCHOOL,,,Military Trail & Bobmar Rd,,Scarborough,1410,,MILITARY,TRL,,,
1663,1663,HTO PARK,park,,Queens Quay W & Rees St,"From Union subway station, take the Harbourfront LRT streetcar to Queen’s Quay W and exit off Spadina, or from Spadina subway station, take the streetcar south to Queens Quay.",Waterfront,339,,QUEENS QUAY,,W,,"Located in Toronto's Inner Harbour, this unique park includes grassy hills, a long sand beach extending along the water's edge, stationary yellow shade umbrellas and Muskoka chairs Billed as ""Toronto's Urban Beach"", HTO park is an inviting space that highlights contemporary landscape design. <a href=""/wps/portal/contentonly?vgnextoid=38c8dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">More info</a>
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - Great place to watch a sunset."
1668,1668,HUMBERCREST UNITED CHURCH,CHURCH,,Baby Point Rd & Thornhill Ave,,Etobicoke York,16,,BABY POINT,RD,,,
1681,1681,JONESVILLE ALLOTMENTS,,,Jonesville Cres & Eglinton Ave E,,North York,50,,JONESVILLE,CRES,,,
1685,1685,KEELE RESERVOIR,park,,Keele St & Chimneystack Rd,,North York,4995,,KEELE,ST,,,An 8.8 hectare park on Keele Street south of Steeles Avenue West that features two cricket pitches and a lit multipurpose sports field.
1707,1707,TORONTO MUSIC GARDEN,park,,Queens Quay W & Lower Spadina Ave,Take the Spadina 510 streetcar south from the Spadina subway station,Waterfront,479,,QUEENS QUAY,,W,,"Fronting on Toronto's inner harbour, the Toronto Music Garden is one of the city's most enchanted locations. The park design is inspired by Bach's First Suite for Unaccompanied Cello, with each dance movement within the suite corresponding to a different section of the garden. <a href=""/wps/portal/contentonly?vgnextoid=4b29dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">More info</a>"
1710,1710,REMBERTO NAVIA SPORT FIELDS,park,,Norfinch Dr & Finch Ave W,,North York,65,,NORFINCH,DR,,,
1713,1713,NORTH BENDALE JUNIOR PUBLIC SCHOOL,SCHOOL,,Aveline Cres & Lynnbrook Dr,,Scarborough,29,,AVELINE,CRES,,,
1748,1748,SCARBOROUGH BLUFFS PARK,park,,,Take the eastbound Kingston Road 12 bus from Victoria Park station. Get off at the Kingston Road at Brimley Road bus stop. It is a ten minute walk south on Brimley Road from the bus stop to the park.,Scarborough,61,,UNDERCLIFF,DR,,,"Bluffs stretch for about 14 <abbr title=""Kilometres"" alt=""Kilometres"">km </abbr> along the Lake Ontario shore, from the Eastern Beaches of Toronto in the west, to West Hill in the east. The Scarborough Bluffs are a significant geological feature resulting from the accumulation of sedimentary deposits over 12,000 years ago. They were formed by the natural processes of wind and water erosion from Lake Ontario. <a href=""/wps/portal/contentonly?vgnextoid=0519dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">More info</a>
<br> <br>
<b>Street parking only. Parking on the grass is not allowed as it poses a safety hazard and can damage turf.</b>

<div class=""well"" style=""
    padding: 5px;
    font-size: 15px;
border-bottom: 5px solid #ddd;
""><b class=""label label-danger"">Note</b> The Scarborough Bluffs are made up of several different parks. To visit the waterfront, beach and marina at ""The Bluffs"", please follow Brimley Road South to the Lake. The only public access to the lake is at <a href=""/parks/prd/facilities/complex/2/index.htm"">Bluffer's Park</a>.</div>"
1760,1760,SILVER SPRINGS ELEMENTARY SCHOOL,SCHOOL,,Silver Springs Blvd & Dancy Ave,,Scarborough,222,,SILVER SPRINGS,BLVD,,,
1763,1763,SILVERTHORNE ALLOTMENTS,,,Old Weston Rd & Rockwell Ave,,Etobicoke York,455,,OLD WESTON,RD,,,
1801,1801,STOFFEL ALLOTMENTS,,,Stoffel Dr & Kelfield St,,Etobicoke York,,,STOFFEL,DR,,,
1803,1803,TERRY FOX PUBLIC SCHOOL,SCHOOL,,Wintermute Blvd & Triangle Villas Dr,,Scarborough,185,,WINTERMUTE,BLVD,,,
1806,1806,ISLAND PARK - FRANKLIN CHILDREN'S GARDEN,garden,,Queens Quay W & Harbour Sq,,Waterfront,9,,QUEENS QUAY,,W,,
1820,1820,WALTER PERRY JUNIOR PUBLIC SCHOOL,,,Falmouth Ave & Ordway Rd,,Scarborough,45,,FALMOUTH,AVE,,,
1843,1843,Spadina House,Other,,Spadina Rd & Austin Terr,,Toronto East York,285,,SPADINA,RD,,,
1846,1846,Colborne Lodge,Other,,Bloor St W & High Park Ave,,Etobicoke York,11,,COLBORNE LODGE,DR,,,
1848,1848,CLOVERCREST PARKETTE,park,,Clovercrest Rd & Leslie St,,North York,23,,CLOVERCREST,RD,,,
1849,1849,LEE CENTRE PARK,park,,Corporate Dr & Lee Centre Dr,,Scarborough,112,,CORPORATE,DR,,,
1850,1850,QUEENSLAND PARK,park,,Nordin Ave & Warnica Ave,,Etobicoke York,65,,Brawley,Avenue,,,
1851,1851,LAKE CRESCENT ROAD END PARKETTE,park,,Lake Cres & Island View Blvd,,Etobicoke York,2,,LAKE,CRES,,,
1852,1852,NESBITT PARK,park,,Nesbitt Dr & Douglas Crescent,,Toronto East York,69,,NESBITT,DR,,,
1853,1853,TABOR HILL MEMORIAL PARK,park,,Bellamy Rd N & Rochman Blvd,,Scarborough,525,,BELLAMY,RD,N,,
1854,1854,STRATFORD PARK,park,,Bayview Ave & Blythwood Rd,,North York,2100,,BAYVIEW,AVE,,,
1855,1855,EAST YORK CURLING CLUB,crc,,,,Toronto East York,901,,COSBURN,AVE,,M4C 2W7,"Come Throw Some Rocks in our House!<br><br>

Daytime and evening leagues; seniors, men, women, mixed, juniors, bantam and little rocks! Season runs from October to April. Lessons are offered at the beginning of each season.<br><br>

Available for private and corporate rentals."
1856,1856,LEASIDE CURLING CLUB,crc,Fully Accessible,,,North York,1075,,MILLWOOD,RD,,M4G 1X6,"The facility includes eight sheets of ice, an lounge area, a fireplace, a bar, a snack bar, wide screen TV's, a stereo system, change rooms and parking.<br><br>
Leaside Curling Club offers Day or Evening/Weekend Leagues (Mixed, Men, Women, Little Rocks, Bantam, and Juniors). Social events, bonspiels, curling clinics and the March Learn to Curl Program.<br><br>
Available for ice permits. Rent 1 sheet or host a Bonspiel. Corporate events, meetings and private parties are available for rental too. Lounge permits are available from May - August. For more details see: <a href=""http://www.leasidecurling.ca"">www.leasidecurling.ca</a>"
1857,1857,GEORGE WEBSTER ELEMENTARY SCHOOL,,,Cedarcrest Blvd & Gower St,,Toronto East York,2,,CEDARCREST,BLVD,,,
1858,1858,LORETTO COLLEGE - WADING POOL,,,Rosemount Ave & Via Italia,,Etobicoke York,151,,ROSEMOUNT,AVE,,,
1860,1860,SHERBOURNE COMMON,park,,,Queens Quay transit just east of Jarvis beside the CORUS building on Queens Quay,Waterfront,5,,LOWER SHERBOURNE,ST,,,"The Paul Quarrington outdoor Ice Rink, located at 61 Dockside Drive, provides a lovely waterfront view while engaging in physical activity. Enjoy an leisurely or brisk skate while taking in the city's wonderful sites. After, enjoy a stroll around Queens Quay. A great destination location with seasonal opportunities and fun for all ages.<br><br>
The Ice Rink/Splash Pad at Sherbourne Common were named in honour of Paul Quarrington in 2014. Paul Quarrington was a successful Toronto author, musician and screenwriter. He wrote the prize winning novels <i>Whale Music</i> (Governor's General Award for Fiction, 1989) and <i>King Leary</i> (Stephen Leacock Award for Humour, 1988) and performed with the Canadian bands <i>Porkbelly Futures</i> and <i>Joe Hall and the Continental Drift</i>. Paul's screenwriting credits include films such as <i>Camilla</i>, <i>Perfectly Normal</i> and <i>Men with Brooms</i>. He was a great influence for future generations of artists as an educator at the University of Toronto and Humber College. <br><br>
<b>Special Features</b><br>
AWARDS - 2014 Toronto Urban Design Awards, Award of Merit and 2012 Canadian Society of Landscape Architects (CSLA) National Honour-Design, for its sophisticated integration of design, art and engineering."
1861,1861,REAN PARK,park,,Rean Dr & Dervock Cres,,North York,7,,REAN,DR,,,
1865,1865,WARDEN HILLTOP COMMUNITY CENTRE,crc,Fully Accessible,,Travel from Warden Station. Walk north on Warden to Roper Rd. Walk east on Roper to the community centre.,Scarborough,25,,MENDELSSOHN,ST,,M1L 0G6,"The new Warden Hilltop Community Centre is the first public building in Toronto to be <abbr title=""Leadership in Energy and Environmental Design"" alt=""Leadership in Energy and Environmental Design"">LEED</abbr> (Leadership in Energy and Environmental Design) Silver certified featuring a geothermal heating and cooling system, green roof and solar power. The centre includes a double gym, weight room, teaching kitchen and preschool area.
"
1868,1868,MAXOME PARK,park,,Maxome Ave & Gustave Crescent,,North York,67,,MAXOME,AVE,,,A 1.7 hectare mostly forested park near Bayview Avenue and Finch Avenue East that features a children's playground and an open green space. The east branch of the Don River flows through the ravine at the south end of the park.
1872,1872,ST. MATTHEW'S ANGLICAN CHURCH,CHURCH,,Bloor St W & Shaver Ave N,,Etobicoke York,3962,,BLOOR,ST,W,,
1873,1873,STEPHEN LEACOCK SENIORS' COMMUNITY CENTRE,crc,,,,Scarborough,2520,,BIRCHMOUNT,RD,,M1T 2M5,
1874,1874,JOHN D. PARKER JUNIOR PUBLIC SCHOOL,SCHOOL,,Mount Olive Dr & Overskate Crt,,Etobicoke York,202,,MOUNT OLIVE,DR,,,
1879,1879,IONVIEW PARK,park,,Ionview Rd & Flempton Cres,,Scarborough,110,,IONVIEW,RD,,,A 1.2 hectare park near Kennedy Road and Eglinton Avenue East that features a children's playground.
1880,1880,PORTAGE GARDENS PARK,park,,Sidney Belsey Cres & Westpoint Lane,,Etobicoke York,400,,SIDNEY BELSEY,CRES,,,
1882,1882,FAIRFIELD PARK,park,,Lothian Ave & Leland Ave,,Etobicoke York,90,,LOTHIAN,AVE,,,"A 2.7 hectare park near Islington Avenue and Bloor Street West features two shuffleboard courts, a splash pad, a children's playground and open green space."
1884,1884,OLD MILL SITE PARK,park,,Catherine St & Old Mill Dr,,Etobicoke York,5,,CATHERINE,ST,,,A small park near Bloor Street West and Jane Street that features four lit outdoor tennis courts overlooking the Humber River.
1886,1886,TRAYMORE PARK,park,,Traymore Cres & Bloor St W,,Etobicoke York,5,,TRAYMORE,CRES,,,
1888,1888,STONEHOUSE PARK,park,,,,Etobicoke York,671,,MARTIN GROVE,RD,,,"This neighbourhood is located south of The Westway. It features a newly refurbished children's playground with climbing parts to explore. There is a small seating area with cement tables and stools. For those who bicycle to the park there are bike racks available. There is also an open green space, to toss a Frisbee, kick a ball or have a picnic with friends or family."
1889,347,ROYWOOD PARK R.C/ CLUBHOUSE,crc,,,,North York,7,,ROYWOOD,DR,,,
1890,1890,CLARINDA PARK,park,,Clarinda Dr & Eunice Dr,,North York,31,,CLARINDA,DR,,,"A small park near Sheppard Avenue East and Leslie Street featuring a children's playground and a trail that connects to the East Don Parkland and the Don River.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Good spot to watch the fall salmon run up the Don River."
1893,1893,EXBURY PARK,park,,Exbury Rd & Gatesgill Cres,,North York,128,,EXBURY,RD,,,A 1.2 hectare park near Jane Street and Wilson Avenue features two lit outdoor bocce courts and a children's playground.
1895,1895,STARRY PARK,park,,Staines Rd & Hepatica St,,Scarborough,505,,STAINES,RD,,,
1896,1896,SOUTH MARINE DRIVE PARK,park,,Rogate Pl & South Marine Dr,,Scarborough,5,,ROGATE,PL,,,
1897,1897,MALLORY GREEN,park,,Mallory Cres & Leacrest Rd,,North York,33,,MALLORY,CRES,,,
1898,1898,CHESTER LE PARK,park,,Chester Le Blvd & 260 Chester Le Blvd,,Scarborough,255,,CHESTER LE,BLVD,,,"A 1.9 hectare park near Victoria Park Avenue and Finch Avenue East features a children's playground and a large open green space. 
"
1900,1900,PINETREE PARK,park,,Applemore Rd & Greenhedges Crt,,Scarborough,55,,APPLEMORE,RD,,,
1901,1901,BILL JOHNSTON PARK,park,,Western Battery Rd & Pirandello St,,Toronto East York,65,,WESTERN BATTERY,RD,,,"A small linear park running the length of north side Western Battery Road near King Street West and Strachan Ave in Liberty Village.
"
1923,1923,CASHMAN PARK,park,,Langmuir Cres & Humbercrest Blvd,,Etobicoke York,4,,LANGMUIR,CRES,,,
1925,1925,CHAPMAN VALLEY PARK,park,,Chapman Rd & Craig Allan Crt,,Etobicoke York,60,,CHAPMAN,RD,,,
1949,1949,FROST PARK,park,,Kipling Ave & Frost St,,Etobicoke York,2051,,KIPLING,AVE,,,"A small park on Kipling Avenue north of Rexdale Boulevard that features a children's playground.
"
1950,1950,GRAHAM PARK,park,,,,Toronto East York,11,,ATLAS,AVE,,,"Graham Park is found just north of St. Clair Avenue West. Enter this small park off Atlas Avenue, and you will find a children's playground. This is a great place for local children to come and play."
1951,1951,HAVERSON PARK,park,,Woodenhill Crt & Haverson Blvd,,Etobicoke York,65,,WOODENHILL,CRT,,,
1953,1953,HOLLEY PARK,park,,Weston Rd & Parke St,,Etobicoke York,2335,,WESTON,RD,,,A small park on Weston Road north of Lawrence Avenue West that features a basketball court and a children's playground.
1955,1955,HUMBER ARBORETUM,park,,,,Etobicoke York,955,,HUMBERWOOD,BLVD,,,"Located in the north-west corner of Toronto right next to the Humber College North Campus, this park includes one of the best examples of a healthy urban forest within the City. The Humber Arboretum first opened in 1977 and is a joint venture between the City of Toronto, Humber College and the Toronto and Region Conservation Authority. Accessible hard surface trails, extensive gardens and a welcoming visitors centre makes this a great destination for the whole family. Through the partnership with Humber College, the Horticultural Staff Team help train students in a variety of landscaping techniques and design. You can frequently discover something new and beautiful growing at the Arboretum. You will also find masses of roses, unique displays of annuals and perennials, a tranquility garden and an urban wildlife garden. Stop by for a stroll through this beautiful park. For more information see the <a href=""http://www.humberarboretum.on.ca"" target=""new"">Humber Arboretum website</a>."
1956,1956,HUMEWOOD PARK,park,,Humewood Dr & Humewood Gdns,,Toronto East York,37,,HUMEWOOD,DR,,,A small park with a mature tree canopy near St.Clair Avenue West and Bathurst Street that features a childrens playground.
1969,1969,MARLBOROUGH PLACE PARKETTE,park,,Marlborough Ave & Marlborough Pl,,Toronto East York,100,,MARLBOROUGH,AVE,,,
1974,1974,NOBLE PARK,park,,Sandcliff Rd & Black Creek Blvd,,Etobicoke York,70,,SANDCLIFF,RD,,,"A 1.4 hectare park near Jane Street and Eglinton Avenue West that features a ball diamond, a basketball court and a children's playground."
1978,1978,REDGRAVE PARK,park,,,,Etobicoke York,48,,REDGRAVE,DR,,,"Two paths criss-cross through the centre of the park to connect local residents to this small green space. There is a fun playground for children to climb on, slide down and discover. A small seating area is great for watching your children explore the playground equipment. The park is located down the road from Parkfield Junior School and Westgrove Park.<br/><br/>
<strong>NEW and IMPROVED</strong> A brand new playground that will include swings, main play feature with climbers, play panels and slides, a spring toy and a spinner bowl."
1979,1979,RICARDO PARKETTE,park,,,,Etobicoke York,180,,MAPLE LEAF,DR,,,"The newly renovated playground at Ricardo Parkette features a new junior/senior play structure with barrier-free play features, overhead climber, spring toy and swing set including a new barrier-free swing. Armour stone frames the outer edges of the playground and allows children to practice balancing skills. Engineered wood fiber form a springy playground floor surface that both cushion falls and supports wheelchair weight. Perimeter located benches allow family members and care givers to supervise the fun! "
1999,1999,THE ELMS PARK,park,,Auburndale Crt & Bergamot Ave,,Etobicoke York,25,,AUBURNDALE,CRT,,,
2001,2001,TICHESTER PARK,park,,,,Toronto East York,21,,TICHESTER,RD,,,"This local park is tucked in behind St. Michael's College School. The mature trees provide shade for park users and benches provide a spot to sit and listen to the sounds of the City. There is a playground for children to spend time playing and having fun outdoors. Bicycle rings are available to secure bikes while using the park. Tichester Park is found north of St. Clair Avenue, within walking distance of the subway station."
2003,2003,VALECREST PARK,park,,Valecrest Dr & Glendarling Rd,,Etobicoke York,125,,VALECREST,DR,,,
2006,2006,WESTMOUNT PARK,park,,Arcade Dr & Adonis Crt,,Etobicoke York,22,,ARCADE,DR,,,
2012,2012,REGENT PARK AQUATIC CENTRE,crc,Fully Accessible,,"Travel on 505 Dundas streetcar to Dundas St E at Sumach stop; or travel on 65 Parliament bus to Parliament at Dundas stop, walk east to 640 Dundas St.",Toronto East York,640,,DUNDAS,ST,E,M5A 2B8,"Regent Park Aquatic Centre (RPAC) is the newest development in the Toronto/East York District. This stand alone aquatic facility is located in the heart of Regent Park and features a 25 meter lap pool, leisure pool, spa pool, tarzan rope, diving board and water slide. Our universal change rooms allow for full accessibility for all patrons. Our programs accommodate participants from preschoolers to older adults. This centre is easily accessible by transit, bike and on foot.
<br><br>
This location is a <a href=""/wps/portal/contentonly?vgnextoid=aaafdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=a96adada600f0410VgnVCM10000071d60f89RCRD#location"">community centre where programs are free</a>."
2013,2013,HUMBERWOOD PARK,park,,Humberwood Blvd & Pinecone Dr,,Etobicoke York,850,,HUMBERWOOD,BLVD,,,"This 5 hectare park near Finch Avenue West and Highway 427 features a ball diamond overlooking the West Humber River Valley.
"
2014,2014,LAMBTON PARK,park,,Dundas St W & Howland St,,Etobicoke York,4100,,DUNDAS,ST,W,,"This 13.5 hectare park on the banks of the Humber River is west of Scarlett Road on Dundas Street West. This park features a children's playground and many trails that connect to the Humber Recreational Trail. The Lambton Arena can be found just in side the park entrance.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>."
2015,2015,FLORENCE GELL PARK,park,,Varsity Rd & Althea Rd,,Etobicoke York,85,,VARSITY,RD,,,A small park that features a splash pad and a children's playground.
2016,2016,MARYLAND PARK,park,,Maryland Blvd & Dentonia Park Ave,,Toronto East York,19,,MARYLAND,BLVD,,,"A one hectare park near Danforth Avenue and Victoria Park Avenue that features four lit outdoor tennis courts with a club house, a children's playground and an open green space. The park is home to the Dentonia Park Tennis Club."
2018,2018,TRUDELLE STREET PARK,park,,Trudelle St & McCowan Rd,,Scarborough,55,,TRUDELLE,ST,,,
2019,2019,BIRCHCREST PARK,park,,Beverly Glen Blvd & Stonebridge Blvd,,Scarborough,89,,BEVERLY GLEN,BLVD,,,A small park near Finch Avenue East and Warden Avenue featuring a children's playground and a splash pad.
2020,2020,SIX POINTS PARK,park,,Viking Lane & Dundas St W,,Etobicoke York,10,,VIKING,LANE,,,
2021,2021,RITA COX PARK,park,,Machells Ave & Joe Shuster Way,,Toronto East York,14,,MACHELLS,AVE,,,"A parkette near Dufferin Street and King Street West that features pathways leading to a children's playground and a splash pad. This park opened in 2008 and was named to honour <a href=""/wps/portal/contentonly?vgnextoid=bdc41076b6ed3410VgnVCM10000071d60f89RCRD"">Dr. Rita Cox</a>, a prominent librarian, storyteller and literacy advocate."
2023,2023,ALDWYCH PARK,park,,Aldwych Ave & Dewhurst Blvd,,Toronto East York,134,,ALDWYCH,AVE,,,A park near Donlands Avenue and Mortimer Avenue that features a splash pad and a children's playground.
2024,2024,TORONTO ISLANDS - ISLAND PARK,park,,Queens Quay W & Harbour Sq,,Waterfront,9,,QUEENS QUAY,,W,,"<a href=""/wps/portal/contentonly?vgnextoid=34e9dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Read more about Toronto Islands</a>

<br><br>
<strong>Special Features</strong><br>
BLUE FLAG BEACH - <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=29c1dada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=d969dada600f0410VgnVCM10000071d60f89RCRD#gibraltar_point"">Gibraltar Point Beach</a> typically achieves annual blue flag certification. This international eco-label is awarded to beaches that meet high water quality, environmental and safety standards.<br>
SCENIC VIEW - Gibralter Point is a great place to watch a sunset.<br>
WILDLIFE - The Toronto Islands are listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>, and are known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
2025,633,HERON PARK,park,,,,Scarborough,292 ,,MANSE,RD,,,"This 4.7 hectare park on Lawrence Avenue East east of Morningside Road features a lit ball diamond, five lit tennis courts, a splash pad and a children's playground. Connected to the park is the Heron Park Community Recreation Centre."
2027,2027,DUFFERIN AND KING PARK,park,,Dufferin St & King St W,,Toronto East York,256,,DUFFERIN,ST,,,A small park on Dufferin Street south of King Street West featuring a splash pad and children's playground.
2030,2030,GLEDHILL PARK,park,,,,Toronto East York,125,,GLEDHILL,AVE,,,"This is neighbourhood favourite with families who have small children.  The little park is enclosed by a fence to set out the play area.  There are park benches for those of all ages to sit on and watch children frolic on the playground equipment of swings, climbers and slides or enjoy the water in the summer months from the splash/spray pad.  Walking may be the best way to get to the park which is found on the corner of Epsom Avenue and Gledhill Avenue."
2031,2031,CORONATION PARK - YORK,park,,Eglinton Ave W & Bicknell Ave,,Etobicoke York,2700,,EGLINTON,AVE,W,,"An 8.5 hectare park along the Bank of the Black Creek near Eglinton Avenue West and Keele Street featuring an amphitheatre, a ball diamond, two basketball courts, a bocce courts, a tennis court, a splash pad and a children`s playground."
2032,2032,WOBURN PARK - SCARBOROUGH,park,,Dormington Dr & Pegasus Trl,,Scarborough,50,,DORMINGTON,DR,,,
2034,2034,STEPHEN LEACOCK PARK,park,,Birchmount Rd & Huntingwood Dr,,Scarborough,2530,,BIRCHMOUNT,RD,,,"A 4 hectare park located between Sheppard Avenue East and Finch Avenue East on Birchmount Road. This park features four lit outdoor tennis courts, a ball diamond, splash pad and a children's playground. Located at the entrance of the park is the Stephen Leacock Community Recreation and Seniors Recreation Centre."
2036,506,MCGREGOR PARK,park,,Lawrence Ave E & Canlish Rd,,Scarborough,2231,,LAWRENCE,AVE,E,,"A 3.9 hectare park on Lawrence Avenue East near Birchmount Road that features two ball diamonds (one with lights), three lit tennis courts, two basketball courts, a splash pad and a children's playground. The Park is adjacent to the McGregor Park Recreation Centre."
2037,630,JACK GOODLAD PARK,park,,Kennedy Rd & Ranstone Gdns,,Scarborough,929,,KENNEDY,RD,,,"A 5 hectare park located on Kennedy Road just south of Lawrence Avenue East. The park features two ball diamonds, four Bocce courts, a splash pad and a children's playground."
2039,2024,TORONTO ISLANDS - WARD'S ISLAND PARK,park,,Centre Island Pk & Lakeshore Ave,,Waterfront,1,,CENTRE ISLAND,PK,,,"<a href=""/wps/portal/contentonly?vgnextoid=34e9dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">More about Toronto Islands</a>.
<br><br>
<strong>Special Features</strong><br>
BLUE FLAG BEACH - <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=29c1dada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=d969dada600f0410VgnVCM10000071d60f89RCRD#wards_island"">Ward's Island Beach</a> typically achieves annual blue flag certification. This international eco-label is awarded to beaches that meet high water quality, environmental and safety standards.<br>
WILDLIFE - Listed as a top spot to see birds in Toronto in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>, particularly during the fall migration. Known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
2043,2043,BROOKWELL PARK,park,,Streamdale Crt & Sentinel Rd,,North York,44,,STREAMDALE,CRT,,,"A small park near Sheppard Avenue West and Keele Street featuring a basketball court and a chlidren's playground.
"
2044,2044,HARLANDALE PARKETTE,park,,Harlandale Ave & Welbeck Rd,,North York,206,,HARLANDALE,AVE,,,
2045,2045,ALAN - OXFORD PARKETTE,park,,Alan Ave & Oxford St,,Etobicoke York,31,,ALAN,AVE,,,
2046,2046,ALDERWOOD MEMORIAL PARK,park,,Sheldon Ave & Valermo Dr,,Etobicoke York,215,,SHELDON,AVE,,,A park near Brown's Line and Horner Avenue featuring a children's playground.
2047,2047,BISSET PARK,park,,Bisset Ave & Savona Dr,,Etobicoke York,20,,BISSET,AVE,,,
2048,2048,BROWNS LINE-LAKESHORE PARKETTE,park,,Browns Line & Lake Shore Blvd W,,Etobicoke York,,,BROWNS,LINE,,,
2049,2049,DOUGLAS PARK,park,,Evans Ave & Treeview Dr,,Etobicoke York,481,,EVANS,AVE,,,"A 2.1 hectare park on Evans Avenue featuring two bocce courts, a children's playground and open green space."
2050,2050,EIGHTH STREET PARK,park,,Eighth St & Birmingham St,,Etobicoke York,160,,EIGHTH,ST,,,A small park on the corner of Eighth Street and Birmingham Street featuring a skateboard park.
